age	sex	population
0	female	1924145
0	male	2015150
1	female	1943534
1	male	2031718
2	female	1965150
2	male	2056625
3	female	1956281
3	male	2050474
4	female	1953782
4	male	2042001
5	female	1956268
5	male	2045050
6	female	1976331
6	male	2069201
7	female	1979376
7	male	2063003
8	female	1980666
8	male	2062172
9	female	2043456
9	male	2128715
10	female	2051237
10	male	2140682
11	female	2034143
11	male	2123819
12	female	2029693
12	male	2116260
13	female	2035757
13	male	2119558
14	female	2022552
14	male	2104753
15	female	2015751
15	male	2098809
16	female	2066782
16	male	2155909
17	female	2098704
17	male	2197871
18	female	2071758
18	male	2169468
19	female	2078174
19	male	2178434
20	female	2089336
20	male	2187409
21	female	2104329
21	male	2213975
22	female	2150615
22	male	2270148
23	female	2196524
23	male	2318784
24	female	2228689
24	male	2358826
25	female	2295484
25	male	2413370
26	female	2350352
26	male	2443974
27	female	2351456
27	male	2432679
28	female	2260383
28	male	2335023
29	female	2210555
29	male	2277184
30	female	2174279
30	male	2236352
31	female	2183649
31	male	2241759
32	female	2204770
32	male	2248948
33	female	2142863
33	male	2168114
34	female	2177520
34	male	2193958
35	female	2179052
35	male	2185895
36	female	2157640
36	male	2156347
37	female	2190170
37	male	2204181
38	female	2063849
38	male	2056619
39	female	2025301
39	male	2012943
40	female	2009156
40	male	1985267
41	female	1948683
41	male	1927055
42	female	2003193
42	male	1987507
43	female	1947353
43	male	1916102
44	female	1981873
44	male	1937184
45	female	2066554
45	male	2025025
46	female	2183846
46	male	2136737
47	female	2201202
47	male	2169762
48	female	2089271
48	male	2050739
49	female	2046810
49	male	2003912
50	female	2053593
50	male	1997485
51	female	2089015
51	male	2032379
52	female	2214239
52	male	2148966
53	female	2261664
53	male	2175762
54	female	2262401
54	male	2165590
55	female	2258814
55	male	2154452
56	female	2290060
56	male	2171286
57	female	2303341
57	male	2190232
58	female	2232903
58	male	2102988
59	female	2222318
59	male	2081562
60	female	2202546
60	male	2047375
61	female	2128409
61	male	1963253
62	female	2111180
62	male	1938979
63	female	2032205
63	male	1843702
64	female	1956079
64	male	1763974
65	female	1878995
65	male	1688983
66	female	1825058
66	male	1626011
67	female	1778116
67	male	1583631
68	female	1723919
68	male	1527330
69	female	1700425
69	male	1503913
70	female	1765955
70	male	1558707
71	female	1307666
71	male	1136177
72	female	1290521
72	male	1108765
73	female	1255382
73	male	1066091
74	female	1280269
74	male	1077532
75	female	1115294
75	male	923942
76	female	1019726
76	male	827432
77	female	959502
77	male	769612
78	female	894185
78	male	713055
79	female	853738
79	male	664775
80	female	782413
80	male	596081
81	female	741699
81	male	552132
82	female	706475
82	male	510165
83	female	626409
83	male	441701
84	female	599235
84	male	408980
